NumMol,RefSite_dif,LAT,LON
2027,1123,49.1889,5.0476
3081,1123,49.1889,5.0476
3089,1123,49.1889,5.0476
3105,1123,49.1889,5.0476
3137,1123,49.1889,5.0476
3137,1123,49.1889,5.0476
3137,1123,49.1889,5.0476
3137,1123,49.1889,5.0476
3161,1123,49.1889,5.0476
3219,1123,49.1889,5.0476
10000,1123,49.1889,5.0476
20002,1123,49.1889,5.0476
20002,1123,49.1889,5.0476
30000,1123,49.1889,5.0476
30000,1123,49.1889,5.0476
249,1124,49.20706,5.14503
249,1124,49.20706,5.14503
182,1125,49.20283,5.07337
263,1125,49.20283,5.07337
24,1126,51.95167,5.838922
203,1126,51.95167,5.838922
1235,1126,51.95167,5.838922
293,1127,51.97198, 5.876741
304,1128,48.99678,1.10384
1173,1128,48.99678,1.10384
138,1129,48.99678,1.10384
158,1129,48.99678,1.10384
238,1129,48.99678,1.10384
250,1129,48.99678,1.10384
1097,1129,48.99678,1.10384
164,1130,48.58875,2.24672
137,1131,47.62709,-2.8215
322,1131,47.62709,-2.8215
1205,1131,47.62709,-2.8215
1294,1131,47.62709,-2.8215
302,1132,50.29301,2.78186
1173,1132,50.29301,2.78186
93,1133,50.29301,2.78186
93,1134,50.29301,2.78186
194,1134,50.29301,2.78186
325,1134,50.29301,2.78186
34,1135,50.29301,2.78186
44,1135,50.29301,2.78186
64,1135,50.29301,2.78186
117,1135,50.29301,2.78186
119,1135,50.29301,2.78186
138,1135,50.29301,2.78186
152,1135,50.29301,2.78186
154,1135,50.29301,2.78186
165,1135,50.29301,2.78186
178,1135,50.29301,2.78186
196,1135,50.29301,2.78186
89,1137,49.74544,2.64641
112,1137,49.74544,2.64641
147,1137,49.74544,2.64641
268,1137,49.74544,2.64641
304,1137,49.74544,2.64641
28,1138,49.97704,9.15214
79,1138,49.97704,9.15214
161,1139,49.97704,9.15214
0,1140,49.97704,9.15214
28,1140,49.97704,9.15214
28,1140,49.97704,9.15214
53,1140,49.97704,9.15214
79,1140,49.97704,9.15214
79,1140,49.97704,9.15214
79,1140,49.97704,9.15214
79,1140,49.97704,9.15214
106,1140,49.97704,9.15214
114,1140,49.97704,9.15214
120,1140,49.97704,9.15214
122,1140,49.97704,9.15214
152,1140,49.97704,9.15214
154,1140,49.97704,9.15214
154,1140,49.97704,9.15214
154,1140,49.97704,9.15214
293,1140,49.97704,9.15214
1095,1140,49.97704,9.15214
20000,1140,49.97704,9.15214
65,1141,49.52278,6.22472
121,1141,49.52278,6.22472
126,1141,49.52278,6.22472
188,1141,49.52278,6.22472
302,1141,49.52278,6.22472
1037,1141,49.52278,6.22472
1151,1141,49.52278,6.22472
6,1142,51.69487,6.11754
12,1142,51.69487,6.11754
12,1142,51.69487,6.11754
12,1142,51.69487,6.11754
28,1142,51.69487,6.11754
30,1142,51.69487,6.11754
45,1142,51.69487,6.11754
45,1142,51.69487,6.11754
56,1142,51.69487,6.11754
67,1142,51.69487,6.11754
88,1142,51.69487,6.11754
97,1142,51.69487,6.11754
97,1142,51.69487,6.11754
112,1142,51.69487,6.11754
117,1142,51.69487,6.11754
135,1142,51.69487,6.11754
166,1142,51.69487,6.11754
172,1142,51.69487,6.11754
172,1142,51.69487,6.11754
175,1142,51.69487,6.11754
176,1142,51.69487,6.11754
199,1142,51.69487,6.11754
199,1142,51.69487,6.11754
243,1142,51.69487,6.11754
299,1142,51.69487,6.11754
310,1142,51.69487,6.11754
330,1142,51.69487,6.11754
330,1142,51.69487,6.11754
333,1142,51.69487,6.11754
334,1142,51.69487,6.11754
1038,1142,51.69487,6.11754
1138,1142,51.69487,6.11754
1138,1142,51.69487,6.11754
1151,1142,51.69487,6.11754
1398,1142,51.69487,6.11754
2012,1142,51.69487,6.11754
3046,1142,51.69487,6.11754
297,1143,49.57369,3.68417
56,1144,49.85664,3.16713
94,1144,49.85664,3.16713
94,1145,49.2,4.41667
130,1145,49.2,4.41667
228,1146,49.139463,5.085281
37,1147,49.14443,5.08228
86,1147,49.14443,5.08228
86,1147,49.14443,5.08228
261,1147,49.14443,5.08228
261,1147,49.14443,5.08228
261,1147,49.14443,5.08228
261,1147,49.14443,5.08228
261,1147,49.14443,5.08228
261,1147,49.14443,5.08228
261,1147,49.14443,5.08228
277,1147,49.14443,5.08228
277,1147,49.14443,5.08228
277,1147,49.14443,5.08228
41,1148,49.14443,5.08228
262,1148,49.14443,5.08228
86,1149,49.14443,5.08228
261,1149,49.14443,5.08228
261,1149,49.14443,5.08228
261,1149,49.14443,5.08228
262,1149,49.14443,5.08228
277,1149,49.14443,5.08228
277,1149,49.14443,5.08228
293,1149,49.14443,5.08228
67,1150,49.14443,5.08228
86,1151,49.14443,5.08228
261,1151,49.14443,5.08228
262,1151,49.14443,5.08228
277,1151,49.14443,5.08228
302,1152,48.67978,3.35635
110,1153,48.379385,10.893974
293,1153,48.379385,10.893974
1019,1153,48.379385,10.893974
1019,1153,48.379385,10.893974
1019,1153,48.379385,10.893974
1277,1153,48.379385,10.893974
1277,1153,48.379385,10.893974
3152,1153,48.379385,10.893974
3163,1153,48.379385,10.893974
3261,1153,48.379385,10.893974
20002,1153,48.379385,10.893974
278,1154,48.374042,10.898446
3120,1154,48.374042,10.898446
1,1155,48.374071,10.900318
86,1155,48.374071,10.900318
165,1155,48.374071,10.900318
165,1155,48.374071,10.900318
1019,1155,48.374071,10.900318
3176,1155,48.374071,10.900318
110,1156,48.374053,10.897845
1224,1156,48.374053,10.897845
33,1157,48.374071,10.898336
261,1157,48.374071,10.898336
262,1157,48.374071,10.898336
293,1157,48.374071,10.898336
333,1157,48.374071,10.898336
1277,1157,48.374071,10.898336
1277,1157,48.374071,10.898336
1353,1157,48.374071,10.898336
2010,1157,48.374071,10.898336
3034,1157,48.374071,10.898336
3110,1157,48.374071,10.898336
3137,1157,48.374071,10.898336
3150,1157,48.374071,10.898336
3175,1157,48.374071,10.898336
3190,1157,48.374071,10.898336
3190,1157,48.374071,10.898336
20002,1157,48.374071,10.898336
30000,1157,48.374071,10.898336
30008,1157,48.374071,10.898336
44,1159,48.372512,10.899062
86,1159,48.372512,10.899062
95,1159,48.372512,10.899062
110,1159,48.372512,10.899062
1178,1159,48.372512,10.899062
3034,1159,48.372512,10.899062
3096,1159,48.372512,10.899062
3126,1159,48.372512,10.899062
3174,1159,48.372512,10.899062
68,1160,48.371708,10.893355
158,1160,48.371708,10.893355
158,1160,48.371708,10.893355
293,1160,48.371708,10.893355
1038,1161,48.37227,10.894155
148,1162,48.376768,10.896141
233,1163,48.375415,10.892450
1470,1163,48.375415,10.892450
2010,1163,48.375415,10.892450
3177,1163,48.375415,10.892450
10000,1163,48.375415,10.892450
86,1164,48.372230,10.891228
133,1164,48.372230,10.891228
